preco_abertura,preco_maximo,preco_minimo,preco_fechamento,qtd_negocios,volume_negocio,data_pregao
6.39,6.39,6.39,6.39,3.186628,0.0,2002-01-01
6.45,6.49,6.39,6.41,3.192857,23920000.0,2002-01-02
6.49,6.5,6.42,6.45,3.214662,39043200.0,2002-01-03
6.38,6.45,6.32,6.41,3.194726,21500800.0,2002-01-04
6.38,6.6,6.38,6.55,3.264501,40406400.0,2002-01-07
6.39,6.55,6.39,6.47,3.224007,34406400.0,2002-01-08
6.41,6.5,6.35,6.4,3.189743,23942400.0,2002-01-09
6.38,6.41,6.31,6.35,3.164821,28774400.0,2002-01-10
6.41,6.44,6.25,6.28,3.127443,18777600.0,2002-01-11
6.18,6.3,6.0,6.05,3.015303,21456000.0,2002-01-14
6.08,6.16,5.98,6.04,3.007828,23222400.0,2002-01-15
5.94,6.06,5.94,6.01,2.994121,20691200.0,2002-01-16
6.06,6.14,6.02,6.12,3.049569,19884800.0,2002-01-17
6.12,6.14,6.06,6.12,3.048323,7692800.0,2002-01-18
6.08,6.09,6.01,6.06,3.021533,5014400.0,2002-01-21
6.14,6.14,5.99,6.01,2.996613,18508800.0,2002-01-22
5.99,6.06,5.96,5.96,2.971693,17168000.0,2002-01-23
6.0,6.06,5.79,5.87,2.926215,39424000.0,2002-01-24
5.87,5.87,5.87,5.87,2.926215,0.0,2002-01-25
5.94,6.09,5.94,6.09,3.033993,33878400.0,2002-01-28
6.02,6.12,5.92,5.98,2.982284,26940800.0,2002-01-29
5.94,6.0,5.9,5.97,2.975431,20822400.0,2002-01-30
5.99,6.12,5.91,6.12,3.052683,40956800.0,2002-01-31
6.01,6.09,5.98,6.02,3.002843,39302400.0,2002-02-01
5.96,6.02,5.94,5.94,2.961102,23724800.0,2002-02-04
5.97,6.0,5.92,5.96,2.971693,25769600.0,2002-02-05
5.96,6.09,5.96,6.09,3.03337,25344000.0,2002-02-06
6.06,6.09,6.01,6.04,3.009072,18947200.0,2002-02-07
6.0,6.12,5.94,5.94,2.962971,11820800.0,2002-02-08
5.94,5.94,5.94,5.94,2.962971,0.0,2002-02-11
5.94,5.94,5.94,5.94,2.962971,0.0,2002-02-12
6.02,6.21,6.02,6.21,3.095669,36764800.0,2002-02-13
6.18,6.26,6.15,6.23,3.105638,31785600.0,2002-02-14
6.28,6.31,6.23,6.31,3.144887,25017600.0,2002-02-15
6.2,6.28,6.16,6.2,3.090063,38192000.0,2002-02-18
6.21,6.32,6.17,6.26,3.121212,30416000.0,2002-02-19
6.22,6.31,6.18,6.31,3.146132,27542400.0,2002-02-20
6.32,6.41,6.3,6.35,3.164821,32355200.0,2002-02-21
6.35,6.52,6.34,6.49,3.233351,54614400.0,2002-02-22
6.58,6.65,6.51,6.6,3.290045,35603200.0,2002-02-25
6.64,6.76,6.61,6.72,3.351722,46694400.0,2002-02-26
6.81,6.92,6.74,6.9,3.438941,49126400.0,2002-02-27
6.9,6.9,6.9,6.9,3.438941,0.0,2002-02-28
7.05,7.25,7.05,7.25,3.612757,49804800.0,2002-03-01
7.12,7.3,7.1,7.25,3.61338,40256000.0,2002-03-04
7.24,7.34,7.11,7.12,3.550457,47558400.0,2002-03-05
6.94,7.11,6.9,6.98,3.481305,46963200.0,2002-03-06
7.06,7.18,7.0,7.06,3.51993,36435200.0,2002-03-07
7.1,7.1,6.98,7.05,3.5137,24204800.0,2002-03-08
7.15,7.16,7.05,7.14,3.557933,27676800.0,2002-03-11
7.3,7.3,7.12,7.25,3.61338,59843200.0,2002-03-12
7.23,7.29,7.16,7.25,3.61338,30096000.0,2002-03-13
7.3,7.35,7.24,7.32,3.650759,34009600.0,2002-03-14
7.39,7.55,7.34,7.5,3.737979,56652800.0,2002-03-15
7.58,7.6,7.5,7.52,3.750439,28646400.0,2002-03-18
7.56,7.57,7.48,7.53,3.753554,23840000.0,2002-03-19
7.52,7.56,7.46,7.46,3.719289,26105600.0,2002-03-20
